armeabi-v7a CtsAppExitTestCases		
| [[VtsHalBootV1_2TargetTest]]                     | armeabi-v7a | 1           |		
| [[VtsHalCameraProviderV2_4TargetTest]]           | armeabi-v7a | 51          |		
| [[VtsHalCameraServiceV2_0TargetTest]]            | armeabi-v7a | 2           |		
| [[VtsHalCasV1_0TargetTest]]                      | armeabi-v7a | 7           |		
| [[VtsHalCasV1_1TargetTest]]                      | armeabi-v7a | 1           |		
| [[VtsHalCasV1_2TargetTest]]                      | armeabi-v7a | 1           |		
| [[VtsHalDrmV1_0TargetTest]]                      | armeabi-v7a | 384         |		
| [[VtsHalDrmV1_1TargetTest]]                      | armeabi-v7a | 66          |		
| [[VtsHalDrmV1_2TargetTest]]                      | armeabi-v7a | 69          |		
| [[VtsHalDrmV1_3TargetTest]]                      | armeabi-v7a | 875         |		
| [[VtsHalDumpstateV1_0TargetTest]]                | armeabi-v7a | 4           |		
| [[VtsHalDumpstateV1_1TargetTest]]                | armeabi-v7a | 46          |		
| [[VtsHalGatekeeperV1_0TargetTest]]               | armeabi-v7a | 9           |		
| [[VtsHalGraphicsComposerV2_1TargetTest]]         | armeabi-v7a | 53          |		
| [[VtsHalGraphicsComposerV2_2TargetTest]]         | armeabi-v7a | 39          |		
| [[VtsHalGraphicsComposerV2_3TargetTest]]         | armeabi-v7a | 23          |		
| [[VtsHalGraphicsComposerV2_4TargetTest]]         | armeabi-v7a | 23          |		
| [[VtsHalGraphicsMapperV4_0TargetTest]]           | armeabi-v7a | 100         |		
| [[VtsHalHealthV2_0TargetTest]]                   | armeabi-v7a | 19          |		
| [[VtsHalHealthV2_1TargetTest]]                   | armeabi-v7a | 7           |		
| [[VtsHalKeymasterV4_0TargetTest]]                | armeabi-v7a | 146         |		
| [[VtsHalKeymasterV4_1TargetTest]]                | armeabi-v7a | 6           |		
| [[VtsHalLightTargetTest]]                        | armeabi-v7a | 0           |		
| [[VtsHalMediaC2V1_0TargetAudioDecTest]]          | armeabi-v7a | 132         |		
| [[VtsHalMediaC2V1_0TargetComponentTest]]         | armeabi-v7a | 330         |		
| [[VtsHalMediaC2V1_0TargetVideoDecTest]]          | armeabi-v7a | 152         |		
| [[VtsHalMediaC2V1_0TargetVideoEncTest]]          | armeabi-v7a | 114         |		
| [[VtsHalMediaOmxV1_0TargetAudioDecTest]]         | armeabi-v7a | 133         |		
| [[VtsHalMediaOmxV1_0TargetAudioEncTest]]         | armeabi-v7a | 12          |		
| [[VtsHalMediaOmxV1_0TargetComponentTest]]        | armeabi-v7a | 342         |		
| [[VtsHalMediaOmxV1_0TargetStoreTest]]            | armeabi-v7a | 5           |		
| [[VtsHalMediaOmxV1_0TargetVideoDecTest]]         | armeabi-v7a | 160         |		
| [[VtsHalMediaOmxV1_0TargetVideoEncTest]]         | armeabi-v7a | 36          |		
| [[VtsHalNetNetdV1_0TargetTest]]                  | armeabi-v7a | 2           |		
| [[VtsHalNetNetdV1_1TargetTest]]                  | armeabi-v7a | 3           |		
| [[VtsHalNeuralnetworksV1_2BenchmarkTestCases]]   | armeabi-v7a | 0           |		
| [[VtsHalNeuralnetworksV1_3BenchmarkTestCases]]   | armeabi-v7a | 0           |		
| [[VtsHalPowerTargetTest]]                        | armeabi-v7a | 9           |		
| [[VtsHalRemotelyProvisionedComponentTargetTest]] | armeabi-v7a | 0           |		
| [[VtsHalThermalV1_0TargetTest]]                  | armeabi-v7a | 3           |		
| [[VtsHalThermalV2_0TargetTest]]                  | armeabi-v7a | 6           |		
| [[VtsHalTvCecV1_0TargetTest]]                    | armeabi-v7a | 10          |		
| [[VtsHalTvCecV1_1TargetTest]]                    | armeabi-v7a | 11          |		
