| Module                                           | ABI         | Total Tests |
| [[VtsHalDrmV1_2TargetTest]]                      | armeabi-v7a | 0           |
| [[VtsHalDrmV1_3TargetTest]]                      | armeabi-v7a | 0           |
| [[VtsHalDrmV1_4TargetTest]]                      | armeabi-v7a | 0           |
| [[VtsHalDumpstateTargetTest]]                    | armeabi-v7a | 37          |
| [[VtsHalDumpstateV1_0TargetTest]]                | armeabi-v7a | 0           |
| [[VtsHalDumpstateV1_1TargetTest]]                | armeabi-v7a | 0           |
| [[VtsHalDynamicsProcessingTargetTest]]           | armeabi-v7a | 0           |
| [[VtsHalEnvironmentalReverbTargetTest]]          | armeabi-v7a | 0           |
| [[VtsHalEqualizerTargetTest]]                    | armeabi-v7a | 0           |
| [[VtsHalEvsTargetTest]]                          | armeabi-v7a | 0           |
| [[VtsHalEvsV1_0TargetTest]]                      | armeabi-v7a | 0           |
| [[VtsHalEvsV1_1TargetTest]]                      | armeabi-v7a | 0           |
| [[VtsHalGatekeeperTargetTest]]                   | armeabi-v7a | 9           |
| [[VtsHalGatekeeperV1_0TargetTest]]               | armeabi-v7a | 0           |
| [[VtsHalGnssTargetTest]]                         | armeabi-v7a | 0           |
| [[VtsHalGnssV1_0TargetTest]]                     | armeabi-v7a | 0           |
| [[VtsHalGnssV1_1TargetTest]]                     | armeabi-v7a | 0           |
| [[VtsHalGnssV2_0TargetTest]]                     | armeabi-v7a | 0           |
| [[VtsHalGnssV2_1TargetTest]]                     | armeabi-v7a | 0           |
| [[VtsHalGraphicsAllocatorAidl_TargetTest]]       | armeabi-v7a | 9           |
| [[VtsHalGraphicsComposer3_TargetTest]]           | armeabi-v7a | 141         |
| [[VtsHalGraphicsComposerV2_1TargetTest]]         | armeabi-v7a | 0           |
| [[VtsHalGraphicsComposerV2_2TargetTest]]         | armeabi-v7a | 0           |
| [[VtsHalGraphicsComposerV2_3TargetTest]]         | armeabi-v7a | 0           |
| [[VtsHalGraphicsComposerV2_4TargetTest]]         | armeabi-v7a | 0           |
| [[VtsHalGraphicsMapperStableC_TargetTest]]       | armeabi-v7a | 0           |
| [[VtsHalGraphicsMapperV2_0TargetTest]]           | armeabi-v7a | 0           |
| [[VtsHalGraphicsMapperV2_1TargetTest]]           | armeabi-v7a | 0           |
| [[VtsHalGraphicsMapperV3_0TargetTest]]           | armeabi-v7a | 0           |
| [[VtsHalGraphicsMapperV4_0TargetTest]]           | armeabi-v7a | 105         |
| [[VtsHalHapticGeneratorTargetTest]]              | armeabi-v7a | 0           |
| [[VtsHalHealthStorageTargetTest]]                | armeabi-v7a | 0           |
| [[VtsHalHealthStorageV1_0TargetTest]]            | armeabi-v7a | 0           |
| [[VtsHalHealthTargetTest]]                       | armeabi-v7a | 22          |
| [[VtsHalHealthV2_0TargetTest]]                   | armeabi-v7a | 0           |
| [[VtsHalHealthV2_1TargetTest]]                   | armeabi-v7a | 0           |
| [[VtsHalHostapdTargetTest]]                      | armeabi-v7a | 18          |
| [[VtsHalIdentityTargetTest]]                     | armeabi-v7a | 0           |
| [[VtsHalInputClassifierV1_0TargetTest]]          | armeabi-v7a | 0           |
| [[VtsHalIrTargetTest]]                           | armeabi-v7a | 0           |
| [[VtsHalIrV1_0TargetTest]]                       | armeabi-v7a | 0           |
| [[VtsHalIvnTargetTest]]                          | armeabi-v7a | 0           |
| [[VtsHalKeymasterV3_0TargetTest]]                | armeabi-v7a | 0           |
| [[VtsHalKeymasterV4_0TargetTest]]                | armeabi-v7a | 0           |
| [[VtsHalKeymasterV4_1TargetTest]]                | armeabi-v7a | 0           |
| [[VtsHalLightTargetTest]]                        | armeabi-v7a | 6           |
| [[VtsHalLightV2_0TargetTest]]                    | armeabi-v7a | 0           |
| [[VtsHalLoudnessEnhancerTargetTest]]             | armeabi-v7a | 0           |
| [[VtsHalMediaC2V1_0TargetAudioDecTest]]          | armeabi-v7a | 168         |
